상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220808463018,멜로우그린,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27110,중구,27110650,남산2동,2711015600,남산동,2.71102E+18,1,대지,661,7,대구광역시 중구 남산동 661-7,2.71102E+11,대구광역시 중구 중앙대로,331,1,2.71102E+24,,대구광역시 중구 중앙대로 331-1,700831,41967,,,,128.5929104,35.86274486
MA010120220808493120,오디플레르,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27290,달서구,27290555,감삼동,2729011300,감삼동,2.72901E+18,1,대지,287,29,대구광역시 달서구 감삼동 287-29,2.72904E+11,대구광역시 달서구 와룡로28길,79,,2.72901E+24,,대구광역시 달서구 와룡로28길 79,704904,42653,,1,,128.5417064,35.84486727
MA010120220808605371,서로일상,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27140,동구,27140742,안심3동,2714011600,동호동,2.71401E+18,1,대지,377,8,대구광역시 동구 동호동 377-8,2.71403E+11,대구광역시 동구 동호로,40,1,2.71401E+24,,대구광역시 동구 동호로 40-1,701849,41085,,1,,128.7217914,35.86480533
MA010120220808582944,플로버,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260680,고산2동,2726012700,대흥동,2.72601E+18,1,대지,903,1,대구광역시 수성구 대흥동 903-1,2.72603E+11,대구광역시 수성구 알파시티1로,83,,2.72601E+24,,대구광역시 수성구 알파시티1로 83,706130,42251,,,,128.6902707,35.83494798
MA010120220808573481,정화플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260620,상동,2726010900,상동,2.72601E+18,1,대지,29,2,대구광역시 수성구 상동 29-2,2.72603E+11,대구광역시 수성구 수성로,138,,2.72601E+24,,대구광역시 수성구 수성로 138,706827,42160,,1,,128.612116,35.83751795
MA010120220808617786,슬로우라이프파머스,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260530,범어3동,2726010100,범어동,2.72601E+18,1,대지,24,3,대구광역시 수성구 범어동 24-3,2.72604E+11,대구광역시 수성구 동대구로77길,33,4,2.72601E+24,,대구광역시 수성구 동대구로77길 33-4,706817,42013,,,,128.6246061,35.86442901
MA010120220808663130,너의숲,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27230,북구,27230695,무태조야동,2723011500,서변동,2.72301E+18,1,대지,40,13,대구광역시 북구 서변동 40-13,2.72303E+11,대구광역시 북구 동화천로,123,,2.72301E+24,,대구광역시 북구 동화천로 123,702891,41410,,,,128.6075923,35.93624425
MA010120220808657272,미래농원,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27230,북구,27230695,무태조야동,2723011500,서변동,2.72301E+18,1,대지,495,9,대구광역시 북구 서변동 495-9,2.72303E+11,대구광역시 북구 호국로,300,22,2.72301E+24,,대구광역시 북구 호국로 300-22,702891,41410,,,,128.6007511,35.9299827
MA010120220808726984,피어나,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27140,동구,27140580,신천4동,2714010200,신천동,2.71401E+18,1,대지,394,13,대구광역시 동구 신천동 394-13,2.71404E+11,대구광역시 동구 동부로34길,15,,2.71401E+24,,대구광역시 동구 동부로34길 15,701828,41245,,1,,128.6314962,35.87650999
MA010120220808718756,멜리아,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,27,대구광역시,27260,수성구,27260530,범어3동,2726010100,범어동,2.72601E+18,1,대지,37,21,대구광역시 수성구 범어동 37-21,2.72604E+11,대구광역시 수성구 상록로2길,21,,2.72601E+24,,대구광역시 수성구 상록로2길 21,706817,42019,,1,,128.6251701,35.86060055
